Date       ,Adj Close   ,Close       ,High        ,Low         ,Open        ,Volume   ,SP_Ajclose  ,SP_close    ,SP_high     ,SP_low      ,SP_open     ,SP_volume  ,DJ_Ajclose  ,DJ_close    ,DJ_high     ,DJ_low      ,DJ_Open     ,DJ_volume  ,EG_Ajclose  ,EG_Close    ,EG_high     ,EG_Low      ,EG_open     ,EG_volume ,EU_Price ,EU_high     ,EU_low      ,EU_Trend ,EU_open     ,OF_Price ,OF_Trend ,OF_High      ,OF_Low       ,OF_Open     ,OF_Volume ,SF_Trend ,SF_Price ,SF_High      ,SF_Low       ,SF_Open      ,SF_Volume ,USB_Price   ,USB_Trend ,USB_High ,USB_Low     ,USB_Open    ,PLT_Price ,PLT_High     ,PLT_Low      ,PLT_Open     ,PLT_Trend ,PLD_Trend ,PLD_Price ,PLD_High     ,PLD_Low      ,PLD_Open     ,RHO_PRICE ,USDI_Price ,USDI_Trend ,USDI_High ,USDI_Low ,USDI_Open ,USDI_Volume ,GDX_Adj Close ,GDX_Close   ,GDX_High    ,GDX_Low     ,GDX_Open    ,GDX_Volume ,USO_Adj Close ,USO_Close    ,USO_High     ,USO_Low      ,USO_Open     ,USO_Volume
2019-01-16 ,122.2699966 ,122.2699966 ,122.4400024 ,122.0199966 ,122.0400009 , 6878100 ,2616.100098 ,2616.100098 ,2625.76001  ,2612.679932 ,2614.75     ,3882180000 ,24207.16016 ,24207.16016 ,24288.60938 ,24119.7207  ,24139.91016 , 302830000 ,187.6195221 ,212.7200012 ,215.75      ,211.75      ,215.4299927 ,   364100 ,Nan      ,0.300000012 ,0.300000012 ,Nan      ,0.300000012 ,Nan      ,Nan      , 52.52000046 ,51.25999832  ,52.0        ,   694182 ,Nan      ,Nan      , 31.70000076 , 31.18000031 , 31.23999977 ,   726750 ,38.84236908 ,Nan       ,Nan      ,48.15999985 ,48.25999832 ,Nan       , 803.4000244 , 803.2000122 , 803.2000122 ,Nan       ,Nan       ,Nan       , 63.74000168 , 62.66999817 , 63.09999847 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.34845543 ,20.60000038 ,20.78000069 ,20.5        ,20.56999969 ,  22030000 ,  88.48000336 , 88.48000336 , 88.55999756 , 86.55999756 , 87.59999847 ,   4094163
2019-01-17 ,122.1100006 ,122.1100006 ,122.2600021 ,121.8099976 ,122.0299988 , 8558500 ,2635.959961 ,2635.959961 ,2645.060059 ,2606.360107 ,2609.280029 ,3802410000 ,24370.09961 ,24370.09961 ,24474.46094 ,24088.90039 ,24147.08984 , 288590000 ,189.9215698 ,215.3300018 ,215.3300018 ,211.6499939 ,211.6499939 ,   259400 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 52.58000183 ,50.97999954  ,52.29999924 ,   288560 ,Nan      ,Nan      , 31.89999962 , 31.13333321 , 31.34000015 ,   508800 ,39.34856415 ,Nan       ,Nan      ,48.97000122 ,48.97000122 ,Nan       , 807.7999878 , 807.7999878 , 807.7999878 ,Nan       ,Nan       ,Nan       , 64.08000183 , 63.29999924 , 63.29999924 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.40480995 ,20.65999985 ,20.77000046 ,20.51000023 ,20.56999969 ,  25288300 ,  88.23999786 , 88.23999786 , 88.80000305 , 86.16000366 , 87.04000092 ,   4481600
2019-01-18 ,121.0199966 ,121.0199966 ,121.5199966 ,121.0199966 ,121.2300034 ,10896000 ,2670.709961 ,2670.709961 ,2675.469971 ,2647.580078 ,2651.27002  ,4009010000 ,24706.34961 ,24706.34961 ,24750.2207  ,24459.0293  ,24534.18945 , 372970000 ,191.121109  ,216.6900024 ,217.1100006 ,214.8000031 ,215.8500061 ,   229200 ,Nan      ,0.270000011 ,0.209999993 ,Nan      ,0.239999995 ,Nan      ,Nan      , 53.91999817 ,52.09000015  ,52.22999954 ,   193099 ,Nan      ,Nan      , 32.41999817 , 31.55999947 , 31.86000061 ,   487050 ,39.72030258 ,Nan       ,Nan      ,49.59000015 ,50.11000061 ,Nan       , 797.7999878 , 797.7999878 , 797.7999878 ,Nan       ,Nan       ,Nan       , 64.94000244 , 63.99000168 , 64.33999634 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.0760746  ,20.30999947 ,20.63999939 ,20.23999977 ,20.45000076 ,  50576000 ,  90.48000336 , 90.48000336 , 90.95999908 , 88.31999969 , 88.95999908 ,   5105025
2019-01-22 ,121.4499969 ,121.4499969 ,121.5       ,120.9000015 ,121.1800003 , 7896500 ,2632.899902 ,2632.899902 ,2657.879883 ,2617.27002  ,2657.879883 ,3923950000 ,24404.48047 ,24404.48047 ,24607.75977 ,24244.31055 ,24607.75977 , 338480000 ,189.339447  ,214.6699982 ,219.0899963 ,212.9600067 ,217.0399933 ,   232100 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 54.24000168 ,51.79999924  ,53.72999954 ,   951158 ,Nan      ,Nan      , 32.11333466 , 31.53333282 , 31.64666748 ,   439500 ,39.65701294 ,Nan       ,Nan      ,49.88000107 ,49.95000076 ,Nan       , 787.5999756 , 786.5       , 786.5       ,Nan       ,Nan       ,Nan       , 66.69999695 , 63.27999878 , 65.0        ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.20756912 ,20.45000076 ,20.51000023 ,20.21999931 ,20.36000061 ,  34617600 ,  88.95999908 , 88.95999908 , 89.27999878 , 87.44000244 , 88.72000122 ,   4597175
2019-01-23 ,121.2799988 ,121.2799988 ,121.5400009 ,120.8600006 ,120.9599991 , 5224900 ,2638.699951 ,2638.699951 ,2653.189941 ,2612.860107 ,2643.47998  ,3358770000 ,24575.61914 ,24575.61914 ,24700.98047 ,24307.16992 ,24577.25    , 318600000 ,191.9237518 ,217.6000061 ,217.6999969 ,214.7200012 ,216.0       ,   297400 ,Nan      ,0.270000011 ,0.239999995 ,Nan      ,0.239999995 ,Nan      ,Nan      , 53.63999939 ,51.86000061  ,52.95000076 ,   702866 ,Nan      ,Nan      , 31.90666771 , 30.90666771 , 31.90666771 ,   478800 ,39.9654808  ,Nan       ,Nan      ,49.99000168 ,50.25999832 ,Nan       , 792.2999878 , 790.0       , 790.0       ,Nan       ,Nan       ,Nan       , 65.19000244 , 64.45999908 , 64.87999725 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.24513817 ,20.48999977 ,20.61000061 ,20.22999954 ,20.31999969 ,  22692400 ,  88.40000153 , 88.40000153 , 89.51999664 , 87.12000275 , 89.36000061 ,   3630600
2019-01-24 ,121.0899963 ,121.0899963 ,121.3600006 ,120.9199982 ,121.1600037 , 5662500 ,2642.330078 ,2642.330078 ,2647.199951 ,2627.01001  ,2638.840088 ,3449230000 ,24553.24023 ,24553.24023 ,24626.30078 ,24422.73047 ,24579.96094 , 320170000 ,190.2655945 ,215.7200012 ,219.7400055 ,215.5299988 ,217.6300049 ,   221300 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 53.47000122 ,52.06999969  ,52.45000076 ,   714415 ,Nan      ,Nan      , 31.86666679 , 31.31333351 , 31.45999908 ,   317850 ,40.25021362 ,Nan       ,Nan      ,50.29000092 ,50.34000015 ,Nan       , 799.0       , 789.0999756 , 789.0999756 ,Nan       ,Nan       ,Nan       , 65.16000366 , 64.33000183 , 64.95999908 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.25453186 ,20.5        ,20.59000015 ,20.35000038 ,20.37000084 ,  37866200 ,  89.36000061 , 89.36000061 , 89.83999634 , 88.23999786 , 88.48000336 ,   2748363
2019-01-25 ,122.8600006 ,122.8600006 ,122.9100037 ,122.0199966 ,122.0199966 ,11103300 ,2664.76001  ,2664.76001  ,2672.379883 ,2657.330078 ,2657.439941 ,3821000000 ,24737.19922 ,24737.19922 ,24860.15039 ,24676.75    ,24687.21094 , 376890000 ,188.2369537 ,213.4199982 ,216.8999939 ,209.9199982 ,214.7799988 ,   411100 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 53.93999863 ,52.90999985  ,53.16999817 ,   593385 ,Nan      ,Nan      , 32.57333374 , 31.82666779 , 31.93333244 ,   685950 ,40.62985992 ,Nan       ,Nan      ,51.06999969 ,51.34999847 ,Nan       , 815.0999756 , 800.7999878 , 800.7999878 ,Nan       ,Nan       ,Nan       , 66.05999756 , 64.93000031 , 65.04000092 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  19.89321709 ,21.18000031 ,21.22999954 ,20.79999924 ,20.80999947 ,  52893000 ,  90.0        , 90.0        , 90.40000153 , 89.27999878 , 89.59999847 ,   2220975
2019-01-28 ,123.2900009 ,123.2900009 ,123.2900009 ,122.7200012 ,122.75      , 8522200 ,2643.850098 ,2643.850098 ,2644.969971 ,2624.060059 ,2644.969971 ,3630820000 ,24528.2207  ,24528.2207  ,24596.98047 ,24323.93945 ,24596.98047 , 347170000 ,188.9954529 ,214.2799988 ,214.4199982 ,211.6000061 ,211.6000061 ,   174000 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 53.63999939 ,51.33000183  ,53.56000137 ,   650667 ,Nan      ,Nan      , 32.45333481 , 31.86000061 , 31.99333382 ,   649200 ,40.55076599 ,Nan       ,Nan      ,50.81999969 ,50.90999985 ,Nan       , 809.7000122 , 809.7000122 , 809.7000122 ,Nan       ,Nan       ,Nan       , 66.87000275 , 65.37999725 , 65.76999664 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  20.14681435 ,21.45000076 ,21.47999954 ,21.18000031 ,21.18000031 ,  38990100 ,  87.59999847 , 87.59999847 , 87.76000214 , 86.23999786 , 87.51999664 ,   3613913
2019-01-29 ,123.9800034 ,123.9800034 ,124.0       ,123.4599991 ,123.7099991 ,11610200 ,2640.0      ,2640.0      ,2650.929932 ,2631.050049 ,2644.889893 ,3518070000 ,24579.96094 ,24579.96094 ,24674.86914 ,24504.03906 ,24519.61914 , 330870000 ,188.84552   ,214.1100006 ,215.1499939 ,213.2700043 ,214.3399963 ,   198100 ,Nan      ,0.270000011 ,0.270000011 ,Nan      ,0.270000011 ,Nan      ,Nan      , 53.93000031 ,51.84000015  ,52.11999893 ,   660527 ,Nan      ,Nan      , 32.5933342  , 32.1866684  , 32.29999924 ,   648600 ,40.37675858 ,Nan       ,Nan      ,50.86000061 ,51.18000031 ,Nan       , 812.2999878 , 809.9000244 , 810.9000244 ,Nan       ,Nan       ,Nan       , 67.66000366 , 66.51000214 , 66.73000336 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  20.63522148 ,21.96999931 ,21.97999954 ,21.48999977 ,21.63999939 ,  61112200 ,  89.27999878 , 89.27999878 , 90.63999939 , 88.95999908 , 88.95999908 ,   2847825
2019-01-30 ,124.6900024 ,124.6900024 ,125.0699997 ,123.6999969 ,123.9100037 ,12104000 ,2681.050049 ,2681.050049 ,2690.439941 ,2648.340088 ,2653.620117 ,3883270000 ,25014.85938 ,25014.85938 ,25109.61914 ,24790.90039 ,24826.51953 , 397330000 ,193.396637  ,219.2700043 ,220.5200043 ,214.6799927 ,214.6799927 ,   276500 ,Nan      ,0.270000011 ,0.239999995 ,Nan      ,0.239999995 ,Nan      ,Nan      , 54.93000031 ,53.09000015  ,53.24000168 ,   731312 ,Nan      ,Nan      , 32.33333206 , 31.63999939 , 32.33333206 ,   766050 ,40.36885071 ,Nan       ,Nan      ,50.81000137 ,51.0        ,Nan       , 812.0       , 812.0       , 812.0       ,Nan       ,Nan       ,Nan       , 68.55000305 , 67.18000031 , 67.51999664 ,Nan       ,Nan        ,Nan        ,Nan       ,Nan      ,Nan       ,Nan         ,  20.83246422 ,22.18000031 ,22.54999924 ,21.75       ,21.86000061 ,  66605400 ,  91.19999695 , 91.19999695 , 92.31999969 , 90.31999969 , 90.72000122 ,   2582500
